panel_id,cx,cy,hot_p90,hot_med,hot_max,hot_stable,nblob_med,big_med,spread_med,label,cluster_id,cluster_size
49,951,164,0.4508,0.0,0.4703,0.183,0.0,0.0,0.0,tekil_panel,14,1
50,878,187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
51,799,210,0.4686,0.4084,0.4772,0.6,1.0,0.3452,0.392,tekil_panel,15,1
52,711,235,0.4794,0.4343,0.4985,0.592,1.0,0.3983,0.366,hat_arizasi,6,2
53,615,263,0.497,0.43,0.5243,0.575,1.0,0.3978,0.377,tekil_panel,16,1
54,664,332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
55,593,314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
56,530,299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
57,474,285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
58,354,315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
59,412,332,0.4853,0.4503,0.576,0.608,1.0,0.425,0.375,hat_arizasi,1,11
60,475,351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
61,543,371,0.5861,0.5243,0.6409,0.608,1.0,0.5006,0.371,string_arizasi,0,13
62,435,405,0.046,0.0,0.107,0.4,0.0,0.0,0.0,hat_arizasi,1,11
63,367,383,0.3719,0.2727,0.4478,0.575,1.0,0.2479,0.287,hat_arizasi,1,11
64,305,361,0.0228,0.0,0.0283,0.15,0.0,0.0,0.0,hat_arizasi,1,11
65,249,342,0.6088,0.4386,0.6213,0.558,1.0,0.3993,0.344,hat_arizasi,1,11
66,176,362,0.1509,0.0563,0.166,0.533,1.0,0.0387,0.119,hat_arizasi,1,11
67,231,384,0.7136,0.0,0.7238,0.2,0.0,0.0,0.0,hat_arizasi,1,11
68,292,407,0.6139,0.5303,0.6905,0.575,1.0,0.5017,0.366,hat_arizasi,1,11
69,359,434,0.1059,0.0164,0.1917,0.517,0.0,0.0,0.0,hat_arizasi,1,11
70,267,466,0.0,0.0,0.001,0.0,0.0,0.0,0.0,normal,-1,0
71,201,436,0.7685,0.5678,0.7938,0.558,1.0,0.5468,0.381,hat_arizasi,1,11
72,140,410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
73,85,386,0.0979,0.0,0.1318,0.458,0.0,0.0,0.0,tekil_panel,17,1
74,21,405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
75,43,438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
76,109,468,0.0582,0.0022,0.0674,0.492,0.0,0.0,0.0,tekil_panel,18,1
77,173,501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
78,25,345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
79,9,326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
80,138,323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
81,91,305,0.2336,0.04,0.2522,0.508,1.0,0.0315,0.098,tekil_panel,19,1
82,58,288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
83,36,270,0.0124,0.0,0.0435,0.183,0.0,0.0,0.0,normal,-1,0
84,17,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
85,5,246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
86,275,295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
87,226,278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
88,182,264,0.3554,0.1907,0.3671,0.533,1.0,0.167,0.271,tekil_panel,20,1
89,389,268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
90,340,254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
91,292,241,0.3825,0.2561,0.4071,0.558,1.0,0.2278,0.3,tekil_panel,21,1
92,110,246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
93,72,234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
94,46,222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
95,30,208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
96,220,225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
97,180,215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
98,143,205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
99,111,196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
100,519,240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
101,472,229,0.3392,0.3107,0.3778,0.583,1.0,0.27,0.342,hat_arizasi,7,2
102,427,219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
103,385,210,0.4011,0.3186,0.4416,0.575,1.0,0.2468,0.409,tekil_panel,22,1
104,347,203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
105,310,195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
106,273,186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
107,236,178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
108,615,216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
109,568,206,0.5092,0.467,0.5265,0.6,1.0,0.4086,0.436,tekil_panel,23,1
110,522,198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
111,481,190,0.4745,0.3814,0.524,0.583,1.0,0.3002,0.457,hat_arizasi,7,2
112,443,184,0.0061,0.0,0.0203,0.108,0.0,0.0,0.0,normal,-1,0
113,406,176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
114,369,168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
115,332,161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
116,704,195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
117,657,186,0.4466,0.4188,0.4701,0.608,1.0,0.367,0.407,string_arizasi,4,3
118,610,179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
119,571,173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
120,534,166,0.4142,0.3798,0.4292,0.6,1.0,0.294,0.418,hat_arizasi,8,2
121,496,159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
122,458,152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
123,422,145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
124,787,173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
125,740,165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
126,696,159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
127,655,154,0.2587,0.2355,0.3182,0.6,1.0,0.1612,0.289,string_arizasi,4,3
128,619,148,0.037,0.0021,0.0472,0.467,0.0,0.0,0.0,string_arizasi,4,3
129,580,142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
130,542,137,0.0232,0.0,0.0551,0.233,0.0,0.0,0.0,hat_arizasi,8,2
131,510,131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
132,863,152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
133,818,146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
134,774,140,0.4347,0.4113,0.4795,0.592,1.0,0.3363,0.395,tekil_panel,24,1
135,732,135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
136,694,131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
137,658,126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
138,618,122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
139,585,116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
140,176,699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
141,59,642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
142,8,565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
