panel_id,cx,cy,hot_p90,hot_med,hot_max,hot_stable,nblob_med,big_med,spread_med,label,cluster_id,cluster_size
55,593,314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
56,530,299,0.0928,0.0567,0.1191,0.595,1.0,0.041,0.135,hat_arizasi,4,2
57,474,285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
58,354,315,0.9811,0.9505,0.9849,1.0,1.0,0.8808,0.711,hat_arizasi,1,4
59,412,332,0.5961,0.5305,0.6128,1.0,1.0,0.4853,0.49,hat_arizasi,1,4
60,475,351,0.0048,0.0,0.0063,0.091,0.0,0.0,0.0,normal,-1,0
61,543,371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
62,435,405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
63,367,383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
64,305,361,0.0,0.0,0.0011,0.0,0.0,0.0,0.0,normal,-1,0
65,249,342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
66,176,362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
67,231,384,0.5014,0.3018,0.5144,1.0,1.0,0.2674,0.292,tekil_panel,15,1
68,292,407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
69,359,434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
70,267,466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
71,201,436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
72,140,410,1.0,0.9974,1.0,1.0,1.0,0.9503,0.533,tekil_panel,16,1
73,85,386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
74,21,405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
75,43,438,0.732,0.6314,0.7491,1.0,1.0,0.5924,0.419,tekil_panel,17,1
76,109,468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
77,173,501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
78,25,345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
79,9,326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
80,138,323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
81,91,305,0.9758,0.9362,0.9832,1.0,1.0,0.862,0.792,tekil_panel,18,1
82,58,288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
83,36,270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
84,17,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
85,5,246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
86,275,295,0.1422,0.1026,0.1527,1.0,1.0,0.0838,0.185,hat_arizasi,5,2
87,226,278,0.9542,0.8795,0.9727,1.0,1.0,0.8045,0.749,hat_arizasi,5,2
88,182,264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
89,389,268,0.2556,0.1753,0.2646,0.711,1.0,0.1432,0.245,hat_arizasi,1,4
90,340,254,0.3224,0.2107,0.3391,0.744,1.0,0.165,0.39,hat_arizasi,1,4
91,292,241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
92,110,246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
93,72,234,0.0188,0.0,0.0426,0.355,0.0,0.0,0.0,normal,-1,0
94,46,222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
95,30,208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
96,220,225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
97,180,215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
98,143,205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
99,111,196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
100,519,240,0.2543,0.2029,0.2571,0.744,1.0,0.16,0.262,hat_arizasi,4,2
101,472,229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
102,427,219,0.836,0.7907,0.8407,1.0,1.0,0.6895,0.64,tekil_panel,19,1
103,385,210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
104,347,203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
105,310,195,0.8064,0.7559,0.8114,1.0,1.0,0.6178,0.754,tekil_panel,20,1
106,273,186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
107,236,178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
108,615,216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
109,568,206,0.7535,0.6984,0.7708,1.0,1.0,0.6119,0.541,tekil_panel,21,1
110,522,198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
111,481,190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
112,443,184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
113,406,176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
114,369,168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
115,332,161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
116,704,195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
117,657,186,0.2511,0.2201,0.2671,0.744,1.0,0.1747,0.253,tekil_panel,22,1
118,610,179,0.0026,0.0,0.0051,0.033,0.0,0.0,0.0,normal,-1,0
119,571,173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
120,534,166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
121,496,159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
122,458,152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
123,422,145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
124,787,173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
125,740,165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
126,696,159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
127,655,154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
128,619,148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
129,580,142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
130,542,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
131,510,131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
132,863,152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
133,818,146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
134,774,140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
135,732,135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
136,694,131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
137,658,126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
138,618,122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
139,585,116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
140,176,699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
141,59,642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
142,8,565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,-1,0
